fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19331218_kantorowicz_boehringer.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19331227_kantorowicz_weniger.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d1933XXXX_kantorowicz_schramm.xml|2 Bl.|2 S.|lt|ts|ts|2 Bl., 2 S.|lt
d19340102_kantorowicz_boehringer.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19340111_kantorowicz_jantzen.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19340127_kantorowicz_saxl.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19340214_kantorowicz_boehringer.xml|1 Bl.|1 S.|pc|ms|ms;1 Bl., 1 S.||pc
d19340407_kantorowicz_schramm.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19340604_kantorowicz_hampe.xml|3 Bl.|6 S.|lt|ms|ms;3 Bl., 6 S.||lt
d19340604_kantorowicz_schramm.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19340619_kantorowicz_salin.xml|2 Bl.|2 S.|lt|ts|ts;2 Bl., 2 S.||lt
d19340722_kantorowicz_jantzen.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19340829_kantorowicz_hampe.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19340829_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19341014_kantorowicz_jantzen.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19341127_kantorowicz_hampe.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19341222_kantorowicz_bsalz.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19350507_kantorowicz_bsalz.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19350607_kantorowicz_hampe.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19350610_kantorowicz_boehringer.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19351012_kantorowicz_hzimmer.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19360412_kantorowicz_toennies.xml|1 Bl.|1 S.|lt|ms|ms|1 Bl., 1 S.|x
d19360708_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19360903_kantorowicz_langlotz.xml|1 Bl.|2 S.|lt|ts|ts;2 S.||lt
d19361216_kantorowicz_frankfurter.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19371017_kantorowicz_weingrosshandlung.xml|1 Bl.|1 S.|lt|ts|ts|1 Bl., 1 S.|lt
d19371217_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19371226_kantorowicz_hczimmer.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19380105_kantorowicz_stein.xml|1 Bl.|3 S.|lt|ms|lt|1 Bl., 3 S.|ms
d19380119_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19380121_kantorowicz_ssalz.xml|2 Bl.|3 S.|lt|ts|ts|2 Bl., 3 S.|lt
d19380222_kantorowicz_saxl.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19380418_kantorowicz_salin.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19380502_kantorowicz_hczimmer.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19380506_kantorowicz_bsalz.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19380729_kantorowicz_demuth.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19380805_kantorowicz_demuth.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19380808_kantorowicz_poole.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19380831_kantorowicz_city.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19380831_kantorowicz_kofka.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19380901_kantorowicz_curtius.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19380928_kantorowicz_bowra.xml|1 Bl.|1 S.|tg|ts|ts;1 Bl., 1 S.||tg
d19380930_kantorowicz_bowra.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19381001_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19381007_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19381011_kantorowicz_bowra.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19381029_kantorowicz_bowra.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
